ID,gene,family,class,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,FC_significant,overall_significant
Alu:Alu:SINE,Alu,Alu,SINE,1755.180709850964,-0.007083821392650187,0.10057839345846287,-0.0704308465175046,0.9438507402315844,0.9760681485580733,FALSE,FALSE,FALSE
AluJb:Alu:SINE,AluJb,Alu,SINE,327267.2081490878,-0.08362069737492331,0.06336699597956202,-1.31962539934659,0.18696011836066873,0.41368746980094095,FALSE,FALSE,FALSE
AluJo:Alu:SINE,AluJo,Alu,SINE,198013.14500000267,-0.09361794049095616,0.06332355134685162,-1.4784063511878625,0.13929904646216892,0.3571994357556557,FALSE,FALSE,FALSE
AluJr4:Alu:SINE,AluJr4,Alu,SINE,43438.29382747815,-0.1301940828608693,0.06296777372659429,-2.067630394972693,0.03867479166595391,0.16307205970489844,FALSE,FALSE,FALSE
AluJr:Alu:SINE,AluJr,Alu,SINE,217652.12525768572,-0.03983986772253969,0.06289350037459092,-0.6334496805751817,0.5264400309491223,0.7399105589628556,FALSE,FALSE,FALSE
AluSc5:Alu:SINE,AluSc5,Alu,SINE,13337.391571794436,-0.07614775753125295,0.07366941856418383,-1.0336413537037747,0.3013038592151099,0.5378778468794218,FALSE,FALSE,FALSE
AluSc8:Alu:SINE,AluSc8,Alu,SINE,76502.62344535066,-0.2811160564386637,0.07578183346674458,-3.7095441424233444,2.0763275558417573e-4,0.0024615013633022573,TRUE,FALSE,FALSE
AluSc:Alu:SINE,AluSc,Alu,SINE,75812.66573492819,-0.022262133295735103,0.06822279070515373,-0.3263151956352522,0.7441858924620097,0.8973091178176029,FALSE,FALSE,FALSE
AluSg4:Alu:SINE,AluSg4,Alu,SINE,17579.154804279795,-0.09478648990194055,0.07179060655171624,-1.3203188335462612,0.18672859012790546,0.41368746980094095,FALSE,FALSE,FALSE
AluSg7:Alu:SINE,AluSg7,Alu,SINE,20738.092620882926,-0.1552623598804191,0.07110014049653302,-2.1837138266694422,0.028983283125866094,0.1295536917866583,FALSE,FALSE,FALSE
AluSg:Alu:SINE,AluSg,Alu,SINE,93400.23629461408,-0.1212884409880348,0.06842271767740012,-1.7726340768849076,0.07628936124661904,0.2400180673066707,FALSE,FALSE,FALSE
AluSp:Alu:SINE,AluSp,Alu,SINE,135406.95552250167,-0.08494747522779499,0.06996622416541945,-1.2141211883459042,0.2247014500284559,0.4526612428153827,FALSE,FALSE,FALSE
AluSq10:Alu:SINE,AluSq10,Alu,SINE,2812.350814287524,-0.10853525296870159,0.08678706526808283,-1.2505925005464722,0.21108318811104906,0.44160114545994406,FALSE,FALSE,FALSE
AluSq2:Alu:SINE,AluSq2,Alu,SINE,153613.32730676638,-0.09327724754997062,0.06641361285069435,-1.4044898861272448,0.1601730212964538,0.3812857361871816,FALSE,FALSE,FALSE
AluSq4:Alu:SINE,AluSq4,Alu,SINE,4525.151354654861,-0.11910472691521362,0.09057179543448653,-1.3150310904608915,0.18849945378470215,0.41449611074162995,FALSE,FALSE,FALSE
AluSq:Alu:SINE,AluSq,Alu,SINE,56317.47803409894,-0.10087235254083338,0.0695073926375135,-1.4512463885228812,0.14671126387917716,0.36604603061565966,FALSE,FALSE,FALSE
AluSx1:Alu:SINE,AluSx1,Alu,SINE,318842.61838532996,-0.06579166968414417,0.06645594579095107,-0.9900042637434354,0.3221720349905515,0.5575409512638948,FALSE,FALSE,FALSE
AluSx3:Alu:SINE,AluSx3,Alu,SINE,81400.23521591818,-0.210030964505869,0.07112451096405412,-2.953003987781615,0.0031469789767403678,0.022780785867023194,TRUE,FALSE,FALSE
AluSx4:Alu:SINE,AluSx4,Alu,SINE,23783.046827080107,-0.09574869954033692,0.07200672877948988,-1.3297187799428212,0.18361094485361867,0.4103654450553554,FALSE,FALSE,FALSE
AluSx:Alu:SINE,AluSx,Alu,SINE,291880.9253424822,-0.0662580974847451,0.06716920649753622,-0.9864356144682974,0.32391939569531586,0.5590001385628025,FALSE,FALSE,FALSE
AluSz6:Alu:SINE,AluSz6,Alu,SINE,115182.18656519633,-0.09308802188252845,0.06366138150515244,-1.4622369116352645,0.1436762999378955,0.36310889334769636,FALSE,FALSE,FALSE
AluSz:Alu:SINE,AluSz,Alu,SINE,278517.67683913145,-0.07946005631937761,0.06553514440167695,-1.2124800676771583,0.22532866799572512,0.4526612428153827,FALSE,FALSE,FALSE
AluY:Alu:SINE,AluY,Alu,SINE,202853.20113103857,-0.07898871001011594,0.07395176177957918,-1.068111267525308,0.28547032386044024,0.5224043063038929,FALSE,FALSE,FALSE
AluYa5:Alu:SINE,AluYa5,Alu,SINE,2612.255814104011,-0.10951393809262858,0.09759521271363848,-1.1221240780934791,0.26180968755988454,0.5028754977299187,FALSE,FALSE,FALSE
