reads,pt221_lo,pt87_hi,pt87_lo,pt212_hi,pt212_lo,pt214_hi,pt214_lo,pt221_hi,pt226_hi,pt226_lo
105000000,3716118,NA,NA,NA,NA,NA,NA,NA,NA,NA
12000000,1938969,961877,1413040,708692,1104955,1027257,1490932,1561057,757162,708909
120000000,3822253,NA,NA,NA,NA,NA,NA,NA,NA,NA
15000000,2144297,1041339,NA,765144,1201999,1107953,1641762,1690857,802436,736700
18000000,2308135,1106347,NA,814523,1283968,1174521,1767770,1798883,840902,759485
21000000,2443684,1160363,NA,857486,1355613,NA,1875776,1893574,875139,779745
24000000,2558176,NA,NA,895771,1417350,NA,NA,1979495,906027,797275
27000000,2655928,NA,NA,931259,NA,NA,NA,2057776,933875,813623
3000000,823188,501392,664563,413812,581468,556291,686897,767685,480367,489074
30000000,2745938,NA,NA,962936,NA,NA,NA,2131808,960180,828861
33000000,2820992,NA,NA,992966,NA,NA,NA,2201591,NA,843140
36000000,2891236,NA,NA,1020150,NA,NA,NA,2268301,NA,NA
39000000,2954805,NA,NA,NA,NA,NA,NA,2332594,NA,NA
45000000,3066568,NA,NA,NA,NA,NA,NA,2452138,NA,NA
6000000,1327219,717810,1007202,550506,826173,782477,1051996,1158705,620503,613297
60000000,3288058,NA,NA,NA,NA,NA,NA,2718596,NA,NA
75000000,3456955,NA,NA,NA,NA,NA,NA,2949494,NA,NA
9000000,1678669,859597,1238921,638341,985747,924217,1303616,1395275,699635,672155
90000000,3596600,NA,NA,NA,NA,NA,NA,3154507,NA,NA
