refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name
NM_000018,37,ENSG00000072778,ACADVL
NM_000021,5663,ENSG00000080815,PSEN1
NM_000026,158,ENSG00000239900,ADSL
NM_000031,210,ENSG00000148218,ALAD
NM_000075,1019,ENSG00000135446,CDK4
NM_000097,1371,ENSG00000080819,CPOX
NM_000099,1471,ENSG00000101439,CST3
NM_000100,1476,ENSG00000160213,CSTB
NM_000107,1643,ENSG00000134574,DDB2
NM_000108,1738,ENSG00000091140,DLD
NM_000113,1861,ENSG00000136827,TOR1A
NM_000116,6901,ENSG00000102125,TAZ
NM_000117,2010,ENSG00000102119,EMD
NM_000122,2071,ENSG00000163161,ERCC3
NM_000123,2073,ENSG00000134899,ERCC5
NM_000126,2108,ENSG00000140374,ETFA
NM_000140,2235,ENSG00000066926,FECH
NM_000143,2271,ENSG00000091483,FH
NM_000144,2395,ENSG00000165060,FXN
NM_000152,2548,ENSG00000171298,GAA
NM_000155,2592,ENSG00000213930,GALT
NM_000157,2629,ENSG00000262446,GBA
NM_000157,2629,ENSG00000177628,GBA
NM_000159,2639,ENSG00000105607,GCDH
NM_000175,2821,ENSG00000282019,GPI
NM_000175,2821,ENSG00000105220,GPI
NM_000178,2937,ENSG00000100983,GSS
NM_000179,2956,ENSG00000116062,MSH6
NM_000182,3030,ENSG00000084754,HADHA
NM_000190,3145,ENSG00000256269,HMBS
NM_000195,3257,ENSG00000107521,HPS1
NM_000244,4221,ENSG00000133895,MEN1
NM_000249,4292,ENSG00000076242,MLH1
NM_000252,4534,ENSG00000171100,MTM1
NM_000255,4594,ENSG00000146085,MMUT
NM_000268,4771,ENSG00000186575,NF2
NM_000271,4864,ENSG00000141458,NPC1
NM_000274,4942,ENSG00000065154,OAT
NM_000285,5184,ENSG00000124299,PEPD
NM_000286,5193,ENSG00000108733,PEX12
NM_000287,5190,ENSG00000124587,PEX6
NM_000291,5230,ENSG00000102144,PGK1
NM_000293,5257,ENSG00000102893,PHKB
NM_000302,5351,ENSG00000083444,PLOD1
NM_000308,5476,ENSG00000064601,CTSA
NM_000314,5728,ENSG00000284792,PTEN
NM_000314,5728,ENSG00000171862,PTEN
NM_000318,5828,ENSG00000164751,PEX2
NM_000319,5830,ENSG00000288217,PEX5
NM_000319,5830,ENSG00000139197,PEX5
NM_000365,7167,ENSG00000111669,TPI1
NM_000374,7389,ENSG00000126088,UROD
NM_000375,7390,ENSG00000188690,UROS
NM_000380,7507,ENSG00000136936,XPA
NM_000382,224,ENSG00000072210,ALDH3A2
NM_000386,642,ENSG00000108578,BLMH
NM_000398,1727,ENSG00000100243,CYB5R3
NM_000400,2068,ENSG00000104884,ERCC2
NM_000414,3295,ENSG00000133835,HSD17B4
NM_000416,3459,ENSG00000027697,IFNGR1
NM_000430,5048,ENSG00000007168,PAFAH1B1
NM_000434,4758,ENSG00000184494,NEU1
NM_000434,4758,ENSG00000234343,NEU1
NM_000434,4758,ENSG00000228691,NEU1
NM_000434,4758,ENSG00000227315,NEU1
NM_000434,4758,ENSG00000223957,NEU1
NM_000434,4758,ENSG00000234846,NEU1
NM_000434,4758,ENSG00000227129,NEU1
NM_000434,4758,ENSG00000204386,NEU1
NM_000447,5664,ENSG00000143801,PSEN2
NM_000454,6647,ENSG00000142168,SOD1
NM_000455,6794,ENSG00000118046,STK11
NM_000462,7337,ENSG00000114062,UBE3A
NM_000466,5189,ENSG00000127980,PEX1
NM_000512,2588,ENSG00000141012,GALNS
NM_000520,3073,ENSG00000213614,HEXA
NM_000543,6609,ENSG00000166311,SMPD1
NM_000548,7249,ENSG00000103197,TSC2
NM_000629,3454,ENSG00000142166,IFNAR1
NM_000637,2936,ENSG00000104687,GSR
NM_000671,128,ENSG00000197894,ADH5
NM_000687,191,ENSG00000101444,AHCY
NM_000696,223,ENSG00000143149,ALDH9A1
NM_000709,593,ENSG00000248098,BCKDHA
NM_000754,1312,ENSG00000093010,COMT
NM_000819,2618,ENSG00000262473,GART
NM_000819,2618,ENSG00000159131,GART
NM_000837,2907,ENSG00000178719,GRINA
NM_000850,2948,ENSG00000168765,GSTM4
NM_000858,2987,ENSG00000143774,GUK1
NM_000904,4835,ENSG00000124588,NQO2
NM_000925,5162,ENSG00000168291,PDHB
NM_000937,5430,ENSG00000284832,POLR2A
NM_000937,5430,ENSG00000181222,POLR2A
NM_000938,5431,ENSG00000047315,POLR2B
NM_000968,6124,ENSG00000174444,RPL4
NM_000970,6128,ENSG00000089009,RPL6
NM_000973,6132,ENSG00000161016,RPL8
NM_000975,6135,ENSG00000142676,RPL11
NM_000988,6155,ENSG00000131469,RPL27
NM_000989,6156,ENSG00000156482,RPL30
NM_000993,6160,ENSG00000071082,RPL31
NM_000994,6161,ENSG00000144713,RPL32
NM_000995,6164,ENSG00000109475,RPL34
NM_000996,6165,ENSG00000182899,RPL35A
NM_001001,6166,ENSG00000165502,RPL36AL
NM_001001330,221035,ENSG00000165476,REEP3
NM_001001410,115939,ENSG00000007520,TSR3
NM_001001563,92609,ENSG00000105197,TIMM50
NM_001001655,121642,ENSG00000189046,ALKBH2
NM_001001660,144363,ENSG00000205707,ETFRF1
NM_001001683,400569,ENSG00000161920,MED11
NM_001001701,401152,ENSG00000164096,C4orf3
NM_001001790,401505,ENSG00000175768,TOMM5
NM_001001795,414919,ENSG00000213563,C8orf82
NM_001002030,55862,ENSG00000093144,ECHDC1
NM_001002836,126208,ENSG00000142409,ZNF787
NM_001002913,138428,ENSG00000187024,PTRH1
NM_001003681,10042,ENSG00000100281,HMGXB4
NM_001004127,440138,ENSG00000253710,ALG11
NM_001004304,283337,ENSG00000139651,ZNF740
NM_001004333,440400,ENSG00000219200,RNASEK
NM_001005404,388403,ENSG00000175155,YPEL2
NM_001005920,339123,ENSG00000161999,JMJD8
NM_001007068,6386,ENSG00000137575,SDCBP
NM_001007250,6342,ENSG00000116171,SCP2
NM_001007561,126298,ENSG00000167378,IRGQ
NM_001008215,493753,ENSG00000183513,COA5
NM_001008237,130502,ENSG00000183891,TTC32
NM_001008388,493856,ENSG00000145354,CISD2
NM_001008395,389541,ENSG00000188186,LAMTOR4
NM_001008495,169200,ENSG00000180694,TMEM64
NM_001008727,7675,ENSG00000197961,ZNF121
NM_001008739,441150,ENSG00000221821,C6orf226
NM_001008910,8576,ENSG00000115661,STK16
NM_001009,6193,ENSG00000083845,RPS5
NM_001009552,5516,ENSG00000104695,PPP2CB
NM_001009894,91298,ENSG00000133641,C12orf29
NM_001009993,130074,ENSG00000152102,FAM168B
NM_001010,6194,ENSG00000137154,RPS6
NM_001010854,145567,ENSG00000165914,TTC7B
NM_001010858,149603,ENSG00000285426,RNF187
NM_001010858,149603,ENSG00000168159,RNF187
NM_001010867,200205,ENSG00000181873,IBA57
NM_001012643,339344,ENSG00000176182,MYPOP
NM_001012759,348180,ENSG00000174177,CTU2
NM_001012985,388753,ENSG00000168275,COA6
NM_001012989,389898,ENSG00000276380,UBE2NL
NM_001013657,390637,ENSG00000183208,GDPGP1
NM_001013663,391356,ENSG00000184924,PTRHD1
NM_001013694,402055,ENSG00000100104,SRRD
NM_001013703,440275,ENSG00000128829,EIF2AK4
NM_001013845,541578,ENSG00000197021,EOLA2
NM_001017,6207,ENSG00000110700,RPS13
NM_001017395,23023,ENSG00000172765,TMCC1
NM_001017923,122525,ENSG00000179476,C14orf28
NM_001017927,130355,ENSG00000186132,C2orf76
NM_001017980,203547,ENSG00000160131,VMA21
NM_001018024,100272147,ENSG00000182712,CMC4
NM_001018108,10169,ENSG00000140264,SERF2
NM_001018136,654364,ENSG00000011052,NME1-NME2
NM_001024678,441381,ENSG00000254402,LRRC24
NM_001025,6228,ENSG00000186468,RPS23
NM_001025356,196527,ENSG00000177119,ANO6
NM_001026,6229,ENSG00000138326,RPS24
NM_001029859,283219,ENSG00000188997,KCTD21
NM_001029863,387263,ENSG00000185127,C6orf120
NM_001029885,80772,ENSG00000224051,CPTP
NM_001029997,339318,ENSG00000197841,ZNF181
NM_001031617,90639,ENSG00000240230,COX19
NM_001031684,6432,ENSG00000115875,SRSF7
NM_001031689,9373,ENSG00000137055,PLAA
NM_001031703,54859,ENSG00000163832,ELP6
NM_001031713,63933,ENSG00000050393,MCUR1
NM_001031725,83479,ENSG00000118197,DDX59
NM_001032284,7112,ENSG00000120802,TMPO
NM_001032363,440574,ENSG00000173436,MICOS10
NM_001033,6240,ENSG00000167325,RRM1
NM_001033002,84268,ENSG00000129197,RPAIN
NM_001033088,51335,ENSG00000182768,NGRN
NM_001033583,23597,ENSG00000123130,ACOT9
NM_001034841,162073,ENSG00000205730,ITPRIPL2
NM_001035005,497661,ENSG00000177576,C18orf32
NM_001035235,10011,ENSG00000213523,SRA1
NM_001035505,388962,ENSG00000163170,BOLA3
NM_001039476,8131,ENSG00000103148,NPRL3
NM_001039590,8239,ENSG00000124486,USP9X
NM_001039613,285148,ENSG00000134330,IAH1
NM_001039618,58487,ENSG00000137504,CREBZF
NM_001039697,6619,ENSG00000164975,SNAPC3
NM_001040431,28958,ENSG00000183978,COA3
NM_001040436,51067,ENSG00000139131,YARS2
NM_001040445,51665,ENSG00000065802,ASB1
NM_001040616,55180,ENSG00000140471,LINS1
NM_001040664,692312,ENSG00000243207,PPAN-P2RY11
NM_001040697,55293,ENSG00000151116,UEVLD
NM_001042371,283871,ENSG00000184207,PGP
NM_001042414,55269,ENSG00000121390,PSPC1
NM_001042616,84992,ENSG00000255072,PIGY
NM_001042697,125150,ENSG00000214941,ZSWIM7
NM_001044264,692094,ENSG00000215183,MSMP
NM_001068,7155,ENSG00000077097,TOP2B
NM_001077399,25953,ENSG00000127838,PNKD
NM_001077664,55665,ENSG00000106608,URGCP
NM_001077701,57708,ENSG00000198160,MIER1
NM_001078172,26071,ENSG00000203950,RTL8A
NM_001079559,221092,ENSG00000214753,HNRNPUL2
NM_001080432,79068,ENSG00000140718,FTO
NM_001080452,56927,ENSG00000125734,GPR108
NM_001080453,26173,ENSG00000164880,INTS1
NM_001080496,9827,ENSG00000107185,RGP1
NM_001080501,79064,ENSG00000168569,TMEM223
NM_001080510,124512,ENSG00000181038,METTL23
NM_001080517,55209,ENSG00000168137,SETD5
NM_001080849,728489,ENSG00000213221,DNLZ
NM_001083614,124454,ENSG00000103356,EARS2
NM_001084,8985,ENSG00000106397,PLOD3
NM_001085365,653784,ENSG00000173272,MZT2A
NM_001085372,790955,ENSG00000204922,UQCC3
NM_001085458,1500,ENSG00000198561,CTNND1
NM_001085481,643246,ENSG00000258102,MAP1LC3B2
NM_001087,14,ENSG00000127837,AAMP
NM_001089591,440567,ENSG00000233954,UQCRHL
NM_001090,23,ENSG00000236149,ABCF1
NM_001090,23,ENSG00000225989,ABCF1
NM_001090,23,ENSG00000232169,ABCF1
NM_001090,23,ENSG00000236342,ABCF1
NM_001090,23,ENSG00000206490,ABCF1
NM_001090,23,ENSG00000231129,ABCF1
NM_001090,23,ENSG00000204574,ABCF1
NM_001096,47,ENSG00000131473,ACLY
NM_001099269,440515,ENSG00000081665,ZNF506
NM_001099402,8812,ENSG00000090061,CCNK
NM_001099415,100101267,ENSG00000272391,POM121C
NM_001099436,25989,ENSG00000140474,ULK3
NM_001099670,401466,ENSG00000176731,RBIS
NM_001100389,201931,ENSG00000170088,TMEM192
NM_001100399,23244,ENSG00000121892,PDS5A
NM_001100418,55049,ENSG00000006015,REX1BD
NM_001105,90,ENSG00000115170,ACVR1
NM_001105537,7701,ENSG00000115568,ZNF142
NM_001105573,200933,ENSG00000174013,FBXO45
NM_001110503,25963,ENSG00000103978,TMEM87A
NM_001113202,4666,ENSG00000196531,NACA
NM_001113363,57533,ENSG00000132405,TBC1D14
NM_001114118,55421,ENSG00000074356,NCBP3
NM_001114600,26099,ENSG00000055070,SZRD1
NM_001114632,100137047,ENSG00000243789,JMJD7
NM_001115007,132660,ENSG00000189308,LIN54
NM_001115016,55683,ENSG00000114982,KANSL3
NM_001122672,883,ENSG00000171097,KYAT1
NM_001123,132,ENSG00000156110,ADK
NM_001125,141,ENSG00000144843,ADPRH
NM_001127,162,ENSG00000100280,AP1B1
NM_001128,164,ENSG00000166747,AP1G1
NM_001128144,5378,ENSG00000064933,PMS1
NM_001128228,286262,ENSG00000176058,TPRN
NM_001128591,389362,ENSG00000180822,PSMG4
NM_001128619,136319,ENSG00000105887,MTPN
NM_001130,166,ENSG00000104964,TLE5
NM_001130929,647087,ENSG00000243317,STMP1
NM_001134493,100188893,ENSG00000214736,TOMM6
NM_001135178,84307,ENSG00000186812,ZNF397
NM_001136053,131601,ENSG00000163870,TPRA1
NM_001136108,203069,ENSG00000104679,R3HCC1
NM_001136262,552889,ENSG00000253719,ATXN7L3B
NM_001136498,284106,ENSG00000274768,CISD3
NM_001136498,284106,ENSG00000277972,CISD3
NM_001137675,342371,ENSG00000224470,ATXN1L
NM_001142623,84514,ENSG00000167925,GHDC
NM_001142641,57666,ENSG00000112787,FBRSL1
NM_001143681,373156,ENSG00000197448,GSTK1
NM_001143909,729020,ENSG00000235376,RPEL1
NM_001143960,339804,ENSG00000237651,C2orf74
NM_001144831,11331,ENSG00000215021,PHB2
NM_001144989,730051,ENSG00000204514,ZNF814
NM_001145073,389856,ENSG00000273820,USP27X
NM_001145078,390980,ENSG00000204524,ZNF805
NM_001145432,389203,ENSG00000250317,SMIM20
NM_001145783,729991,ENSG00000254901,BORCS8
NM_001146106,83666,ENSG00000138496,PARP9
NM_001146160,83940,ENSG00000147687,TATDN1
NM_001152,292,ENSG00000005022,SLC25A5
NM_001155,309,ENSG00000197043,ANXA6
NM_001156,310,ENSG00000138279,ANXA7
NM_001160305,79918,ENSG00000103037,SETD6
NM_001161,318,ENSG00000164978,NUDT2
NM_001163315,64839,ENSG00000145743,FBXL17
NM_001163380,84932,ENSG00000129472,RAB2B
NM_001163424,150678,ENSG00000172428,COPS9
NM_001164468,100302736,ENSG00000251201,TMED7-TICAM2
NM_001164603,171023,ENSG00000171456,ASXL1
NM_001164811,100303755,ENSG00000232838,PET117
NM_001165946,3416,ENSG00000119912,IDE
NM_001166,329,ENSG00000110330,BIRC2
NM_001166104,4306,ENSG00000151623,NR3C2
NM_001167,331,ENSG00000101966,XIAP
NM_001170569,63932,ENSG00000018610,STEEP1
NM_001171155,100131801,ENSG00000229833,PET100
NM_001172574,79648,ENSG00000147316,MCPH1
NM_001173,394,ENSG00000100852,ARHGAP5
NM_001173533,9993,ENSG00000070413,DGCR2
NM_001174108,100381270,ENSG00000257315,ZBED6
NM_001177,400,ENSG00000120805,ARL1
NM_001183,537,ENSG00000071553,ATP6AP1
NM_001190,587,ENSG00000105552,BCAT2
NM_001190316,51447,ENSG00000068745,IP6K2
NM_001191,598,ENSG00000171552,BCL2L1
NM_001193285,51548,ENSG00000077463,SIRT6
NM_001193612,51174,ENSG00000108423,TUBD1
NM_001195098,23243,ENSG00000206560,ANKRD28
NM_001195563,23261,ENSG00000171735,CAMTA1
NM_001195605,100507290,ENSG00000261221,ZNF865
NM_001195628,8028,ENSG00000078403,MLLT10
NM_001195752,90326,ENSG00000041988,THAP3
NM_001198798,51008,ENSG00000138303,ASCC1
NM_001198845,100526737,ENSG00000248643,RBM14-RBM4
NM_001198879,100526740,ENSG00000248919,ATP5MF-PTCD1
NM_001199058,100526783,ENSG00000250021,ARPIN-AP3S2
NM_001199119,79897,ENSG00000239927,RPP21
NM_001199119,79897,ENSG00000241863,RPP21
NM_001199119,79897,ENSG00000241779,RPP21
NM_001199119,79897,ENSG00000243009,RPP21
NM_001199119,79897,ENSG00000242726,RPP21
NM_001199119,79897,ENSG00000239865,RPP21
NM_001199119,202658,ENSG00000248167,TRIM39-RPP21
NM_001199535,100527943,ENSG00000259399,TGIF2-RAB5IF
NM_001199661,100527963,ENSG00000260238,PMF1-BGLAP
NM_001199816,79017,ENSG00000006625,GGCT
NM_001199864,100529063,ENSG00000258643,BCL2L2-PABPN1
NM_001199900,5164,ENSG00000005882,PDK2
NM_001201459,130557,ENSG00000163795,ZNF513
NM_001202403,140459,ENSG00000148331,ASB6
NM_001202485,100529241,ENSG00000270757,HSPE1-MOB4
NM_001202547,100529257,ENSG00000258644,SYNJ2BP-COX16
NM_001202558,2342,ENSG00000257365,FNTB
NM_001203260,100532726,ENSG00000259112,NDUFC2-KCTD14
NM_001204062,100532731,ENSG00000269897,COMMD3-BMI1
NM_001204180,100533106,ENSG00000259305,ZHX1-C8orf76
NM_001204425,100533467,ENSG00000270181,BIVM-ERCC5
NM_001204848,79005,ENSG00000163156,SCNM1
NM_001204890,100534599,ENSG00000261796,ISY1-RAB43
NM_001205,662,ENSG00000113734,BNIP1
NM_001206,687,ENSG00000119138,KLF9
NM_001206491,57506,ENSG00000088888,MAVS
NM_001206682,11016,ENSG00000170653,ATF7
NM_001207,689,ENSG00000145741,BTF3
NM_001212,708,ENSG00000108561,C1QBP
NM_001219,813,ENSG00000128595,CALU
NM_001227,840,ENSG00000165806,CASP7
NM_001229,842,ENSG00000132906,CASP9
NM_001239,902,ENSG00000134480,CCNH
NM_001242393,55902,ENSG00000131069,ACSS2
NM_001243399,51022,ENSG00000023572,GLRX2
NM_001243650,81577,ENSG00000141098,GFOD2
NM_001243770,55719,ENSG00000119906,SLF2
