refseq_mrna,entrezgene_id,ensembl_gene_id,external_gene_name
,8287,ENSG00000114374,USP9Y
NM_032971,83259,ENSG00000099715,PCDH11Y
NM_031277,56163,ENSG00000132972,RNF17
,8900,ENSG00000133101,CCNA1
NM_000209,3651,ENSG00000139515,PDX1
NM_001338,1525,ENSG00000154639,CXADR
NM_001354700,1045,ENSG00000165556,CDX2
,84203,ENSG00000168454,TXNDC2
NM_005288,2835,ENSG00000132975,GPR12
NM_001378206,23255,ENSG00000168502,MTCL1
,51131,ENSG00000136147,PHF11
,9365,ENSG00000133116,KL
NM_001352591,4685,ENSG00000154654,NCAM2
NM_025135,80206,ENSG00000134775,FHOD3
NM_001011705,11061,ENSG00000136110,CNMD
,8796,ENSG00000136155,SCEL
,728441,ENSG00000133475,GGT2
NM_001330994,2897,ENSG00000171189,GRIK1
,688,ENSG00000102554,KLF5
NM_199328,9073,ENSG00000156284,CLDN8
NM_002019,2321,ENSG00000102755,FLT1
NM_000678,146,ENSG00000171873,ADRA1D
NM_001029871,343637,ENSG00000101282,RSPO4
NM_080831,140881,ENSG00000125903,DEFB129
NM_001322809,51378,ENSG00000101280,ANGPT4
,55423,ENSG00000089012,SIRPG
,91227,ENSG00000100121,GGTLC2
NM_001819,1114,ENSG00000089199,CHGB
NM_002509,4821,ENSG00000125820,NKX2-2
NM_001322182,1638,ENSG00000080166,DCT
NM_006237,5457,ENSG00000152192,POU4F1
NM_198994,343641,ENSG00000166948,TGM6
NM_001371319,8170,ENSG00000132874,SLC14A2
,29802,ENSG00000128218,VPREB3
NM_001201528,5126,ENSG00000125851,PCSK2
,10047,ENSG00000125815,CST8
NM_080826,140862,ENSG00000101230,ISM1
NM_020530,5008,ENSG00000099985,OSM
NM_001329457,150280,ENSG00000176635,HORMAD2
NM_017545,54363,ENSG00000101323,HAO1
NM_130794,140880,ENSG00000125831,CST11
NM_003650,8530,ENSG00000077984,CST7
NM_012130,23562,ENSG00000159261,CLDN14
,8911,ENSG00000100346,CACNA1I
NM_001195,631,ENSG00000125864,BFSP1
,140578,ENSG00000154645,CHODL
,92086,ENSG00000149435,GGTLC1
NM_025227,80341,ENSG00000078898,BPIFB2
NM_006272,6285,ENSG00000160307,S100B
NM_152611,164312,ENSG00000125872,LRRN4
NM_001303508,91464,ENSG00000175329,ISX
NM_002930,6014,ENSG00000152214,RIT2
NM_139074,140850,ENSG00000088782,DEFB127
NM_020783,6860,ENSG00000132872,SYT4
NM_021624,59340,ENSG00000134489,HRH4
NM_000343,6523,ENSG00000100170,SLC5A1
NM_152512,150350,ENSG00000176177,ENTHD1
NM_001369510,83876,ENSG00000134042,MRO
,27128,ENSG00000100055,CYTH4
NM_001243476,90627,ENSG00000133121,STARD13
NM_001142,265,ENSG00000125363,AMELX
NM_173557,220441,ENSG00000176641,RNF152
,2192,ENSG00000077942,FBLN1
NM_080610,128821,ENSG00000101435,CST9L
,57644,ENSG00000078814,MYH7B
NM_003008,6407,ENSG00000124157,SEMG2
NM_002251,3787,ENSG00000124134,KCNS1
NM_006498,3957,ENSG00000100079,LGALS2
NM_002091,2922,ENSG00000134443,GRP
NM_052906,114794,ENSG00000166897,ELFN2
,122046,ENSG00000175664,TEX26
NM_006307,8406,ENSG00000101955,SRPX
NM_015011,23026,ENSG00000041515,MYO16
,5475,ENSG00000086717,PPEF1
NM_006953,7380,ENSG00000100373,UPK3A
NM_003007,6406,ENSG00000124233,SEMG1
,149708,ENSG00000175121,WFDC5
NM_007038,11096,ENSG00000154736,ADAMTS5
,339302,ENSG00000166569,CPLX4
,201456,ENSG00000141665,FBXO15
NM_014332,23676,ENSG00000091482,SMPX
NM_022829,64849,ENSG00000158296,SLC13A3
,22866,ENSG00000149970,CNKSR2
,128859,ENSG00000167104,BPIFB6
NM_080552,140679,ENSG00000101438,SLC32A1
NM_030882,23780,ENSG00000128335,APOL2
NM_145248,122258,ENSG00000153498,SPACA7
NM_182848,9071,ENSG00000134873,CLDN10
