Ensembl,gene_symbol,Aire_pos_TEC,Aire_ko_TEC,fold_change,FDR_BH
ENSMUSG00000000003,Pbsn,5.75716827744,0,0,0.0323557612633
ENSMUSG00000000215,Ins2,472.206074457,0,0,1.68587683141e-35
ENSMUSG00000000606,Vmn2r88,4.80301639968,0,0,0.0309859967408
ENSMUSG00000001815,Evx2,12.9724452139,0,0,3.96326806667e-5
ENSMUSG00000001819,Hoxd13,8.16405264576,0,0,0.0122664018304
ENSMUSG00000001865,Cpa3,16.2743436067,0,0,4.86930643117e-4
ENSMUSG00000002190,Clgn,42.2945003933,0,0,1.18460870372e-12
ENSMUSG00000002240,4930432K09Rik,5.74641594048,0,0,0.024452451237
ENSMUSG00000004344,Gpx5,13.4280164789,0,0,2.33533908869e-5
ENSMUSG00000004613,Lim2,11.4874557125,0,0,1.39310931052e-4
ENSMUSG00000005891,Prl4a1,8.64650475312,0,0,0.00306624138728
ENSMUSG00000005892,Trh,287.006409195,0,0,1.35022007523e-25
ENSMUSG00000005994,Tyrp1,56.6390355706,0,0,4.45579855375e-17
ENSMUSG00000007209,Ceacam9,164.658519047,0,0,5.54798809923e-32
ENSMUSG00000007457,2310003L06Rik,20.160841308,0,0,1.82471086827e-7
ENSMUSG00000007805,Twist2,8.64112858464,0,0,0.00133097911229
ENSMUSG00000008590,Htr3b,16.2904721122,0,0,2.85542054871e-5
ENSMUSG00000008874,Clec3a,46.518293653,0,0,4.42623634108e-8
ENSMUSG00000010435,Spaca7,35.9473566389,0,0,7.73965614209e-12
ENSMUSG00000012042,4930579F01Rik,6.7113201552,0,0,0.00605949740998
ENSMUSG00000012520,Phox2b,27.3223565597,0,0,1.09805984496e-9
ENSMUSG00000014542,Clec4f,634.414699788,0,0,8.82479815776e-64
ENSMUSG00000015001,Oc90,67.6494153442,0,0,1.02044447758e-11
ENSMUSG00000015441,Gzmf,50.3510296695,0,0,6.48861219047e-16
ENSMUSG00000015443,Gzmn,15.3739534138,0,0,2.04085486011e-4
ENSMUSG00000016458,Wt1,28.2765084375,0,0,1.81159906273e-9
ENSMUSG00000016626,Nlrp14,24.4760294318,0,0,3.62590963726e-9
ENSMUSG00000016998,Svs4,131.50910402,0,0,1.01164679335e-32
ENSMUSG00000017003,Svs3a,6.72207249216,0,0,0.00609861704406
ENSMUSG00000017004,Svs5,24.9047198544,0,0,1.0084210009e-6
ENSMUSG00000017310,Spint4,6.24499655328,0,0,0.00922498459859
ENSMUSG00000017316,Ppy,622.894987064,0,0,8.28380183318e-24
ENSMUSG00000017733,Spinlw1,5.28009233856,0,0,0.0206182114347
ENSMUSG00000017817,Jph2,51.814514497,0,0,5.19766003649e-8
ENSMUSG00000017922,Prl3c1,6.69519164977,0,0,0.00601420914822
ENSMUSG00000019772,Vip,284.974453565,0,0,1.66215382831e-58
ENSMUSG00000019905,Gprc6a,44.1705471379,0,0,3.34357383875e-14
ENSMUSG00000019909,Fam162b,55.6580028504,0,0,1.3040931576e-16
ENSMUSG00000019933,2310015B20Rik,6.7113201552,0,0,0.0174174230694
ENSMUSG00000020090,Npffr1,19.6568845267,0,0,3.19737889818e-7
ENSMUSG00000020125,Elane,6.72744866064,0,0,0.0132125649626
ENSMUSG00000020229,Slc5a4a,20.1285842971,0,0,2.04251004435e-7
ENSMUSG00000020428,Gabra6,16.789052725,0,0,6.79928018954e-6
ENSMUSG00000020562,Efcab10,24.4760294318,0,0,1.5104819404e-6
ENSMUSG00000020583,Matn3,71.5359130454,0,0,3.77791040614e-21
ENSMUSG00000020591,Ntsr2,15.8510293526,0,0,0.00187651960606
ENSMUSG00000020636,Allc,11.0318844475,0,0,1.43500120614e-4
ENSMUSG00000020686,Gas2l2,52.3077189413,0,0,1.44680883376e-16
ENSMUSG00000020703,5530401A14Rik,5.28009233856,0,0,0.0206846514126
ENSMUSG00000020805,Slc13a5,62.3316898263,0,0,6.27692958799e-10
ENSMUSG00000020945,Lyzl6,7.6816005384,0,0,0.0121819002846
ENSMUSG00000021081,Serpina1f,5.75716827744,0,0,0.0133737506606
ENSMUSG00000021095,Gsc,10.0723564013,0,0,3.8507150944e-4
ENSMUSG00000021439,Ctsq,31.6859301998,0,0,1.97016230454e-7
ENSMUSG00000021440,Cts7,14.8699966325,0,0,8.24978411242e-6
