Ensembl_ID,gene_symbol,GNF_GeneAtlas_Specificity
ENSMUSG00000000001,Gnai3,NRE
ENSMUSG00000000003,Pbsn,TRE
ENSMUSG00000000028,Cdc45,TRE
ENSMUSG00000000037,Scml2,TRE
ENSMUSG00000000049,Apoh,TRE
ENSMUSG00000000056,Narf,TRE+NRE
ENSMUSG00000000058,Cav2,NRE
ENSMUSG00000000078,Klf6,NRE
ENSMUSG00000000085,Scmh1,TRE+NRE
ENSMUSG00000000088,Cox5a,NRE
ENSMUSG00000000093,Tbx2,TRE
ENSMUSG00000000094,Tbx4,TRE
ENSMUSG00000000103,Zfy2,TRE
ENSMUSG00000000120,Ngfr,TRE
ENSMUSG00000000125,Wnt3,not detected
ENSMUSG00000000126,Wnt9a,NRE
ENSMUSG00000000127,Fer,TRE+NRE
ENSMUSG00000000131,Xpo6,NRE
ENSMUSG00000000134,Tfe3,NRE
ENSMUSG00000000142,Axin2,NRE
ENSMUSG00000000148,Baat1,NRE
ENSMUSG00000000149,Gna12,NRE
ENSMUSG00000000154,Slc22a18,TRE
ENSMUSG00000000157,Itgb2l,TRE
ENSMUSG00000000159,Igsf5,NRE
ENSMUSG00000000167,Pih1d2,TRE
ENSMUSG00000000168,Dlat,NRE
ENSMUSG00000000171,Sdhd,NRE
ENSMUSG00000000182,Fgf23,not detected
ENSMUSG00000000183,Fgf6,not present
ENSMUSG00000000184,Ccnd2,TRE+NRE
ENSMUSG00000000194,Gpr107,NRE
ENSMUSG00000000197,Nalcn,TRE
ENSMUSG00000000202,Btbd17,not detected
ENSMUSG00000000204,Slfn4,TRE
ENSMUSG00000000214,Th,TRE
ENSMUSG00000000215,Ins2,TRE
ENSMUSG00000000216,Scnn1g,TRE
ENSMUSG00000000223,Drp2,TRE
ENSMUSG00000000244,Tspan32,NRE
ENSMUSG00000000247,Lhx2,TRE
ENSMUSG00000000248,Clec2g,TRE
ENSMUSG00000000253,Gmpr,NRE
ENSMUSG00000000263,Glra1,TRE
ENSMUSG00000000266,Mid2,NRE
ENSMUSG00000000275,Trim25,NRE
ENSMUSG00000000276,Dgke,TRE+NRE
ENSMUSG00000000278,Scpep1,NRE
ENSMUSG00000000282,Mnt,NRE
ENSMUSG00000000290,Itgb2,NRE
ENSMUSG00000000295,Hddc2,NRE
ENSMUSG00000000296,Tpd52l1,NRE
ENSMUSG00000000301,Pemt,TRE
ENSMUSG00000000303,Cdh1,NRE
ENSMUSG00000000305,Cdh4,TRE
ENSMUSG00000000308,Ckmt1,NRE
ENSMUSG00000000317,Bcl6b,TRE
ENSMUSG00000000318,Clec10a,TRE
ENSMUSG00000000320,Alox12,TRE
ENSMUSG00000000325,Arvcf,TRE
ENSMUSG00000000326,Comt,NRE
ENSMUSG00000000339,Rtcd1,NRE
ENSMUSG00000000340,Dbt,NRE
ENSMUSG00000000346,Dazap2,NRE
ENSMUSG00000000355,Mcts1,NRE
ENSMUSG00000000359,Rem1,not detected
ENSMUSG00000000365,Rnf17,TRE
ENSMUSG00000000374,Trappc10,NRE
ENSMUSG00000000378,Ccm2,NRE
ENSMUSG00000000381,Wap,TRE
ENSMUSG00000000384,Tbrg4,NRE
ENSMUSG00000000385,Tmprss2,NRE
ENSMUSG00000000386,Mx1,TRE
ENSMUSG00000000392,Fap,TRE
ENSMUSG00000000394,Gcg,TRE
ENSMUSG00000000399,Ndufa9,NRE
ENSMUSG00000000402,Egfl6,TRE
ENSMUSG00000000409,Lck,TRE
ENSMUSG00000000411,Tssk3,TRE
ENSMUSG00000000416,Cttnbp2,NRE
ENSMUSG00000000420,Galnt1,NRE
ENSMUSG00000000435,Myf5,not detected
ENSMUSG00000000439,Mkrn2,NRE
ENSMUSG00000000440,Pparg,NRE
ENSMUSG00000000441,Raf1,NRE
ENSMUSG00000000486,Sept1,TRE
ENSMUSG00000000489,Pdgfb,NRE
ENSMUSG00000000530,Acvrl1,TRE
ENSMUSG00000000531,Grasp,TRE
ENSMUSG00000000532,Acvr1b,NRE
ENSMUSG00000000538,Tom1l2,NRE
ENSMUSG00000000544,Gpa33,TRE
ENSMUSG00000000552,Zfp385a,NRE
ENSMUSG00000000555,Itga5,TRE
ENSMUSG00000000560,Gabra2,TRE
ENSMUSG00000000561,Wdr77,TRE+NRE
ENSMUSG00000000562,Adora3,TRE
ENSMUSG00000000563,Atp5f1,NRE
ENSMUSG00000000567,Sox9,NRE
ENSMUSG00000000568,Hnrnpd,TRE+NRE
ENSMUSG00000000579,Dynlt1c,NRE
ENSMUSG00000000581,C1d,NRE
ENSMUSG00000000594,Gm2a,NRE
ENSMUSG00000000600,Krit1,NRE
ENSMUSG00000000605,Clcn4-2,NRE
ENSMUSG00000000606,Vmn2r88,not detected
ENSMUSG00000000617,Grm6,not present
ENSMUSG00000000627,Sema4f,TRE
ENSMUSG00000000628,Hk2,NRE
ENSMUSG00000000631,Myo18a,NRE
ENSMUSG00000000632,Sez6,TRE
ENSMUSG00000000673,Haao,TRE
ENSMUSG00000000682,Cd52,NRE
ENSMUSG00000000686,Abhd15,TRE
ENSMUSG00000000690,Hoxb6,TRE
ENSMUSG00000000693,Loxl3,TRE
ENSMUSG00000000701,Tcl1b5,not present
ENSMUSG00000000706,Btn1a1,TRE
ENSMUSG00000000708,Kat2b,NRE
ENSMUSG00000000711,Rab5b,NRE
ENSMUSG00000000724,Cryba1,TRE
ENSMUSG00000000730,Dnmt3l,TRE
ENSMUSG00000000731,Aire,not detected
ENSMUSG00000000732,Icosl,TRE
ENSMUSG00000000738,Spg7,NRE
ENSMUSG00000000739,Sult5a1,TRE
ENSMUSG00000000740,Rpl13,NRE
ENSMUSG00000000743,Chmp1a,NRE
ENSMUSG00000000751,Rpa1,NRE
ENSMUSG00000000753,Serpinf1,NRE
ENSMUSG00000000759,Tubgcp3,NRE
ENSMUSG00000000766,Oprm1,not detected
ENSMUSG00000000776,Polr3d,TRE+NRE
ENSMUSG00000000782,Tcf7,TRE
ENSMUSG00000000787,Ddx3x,NRE
ENSMUSG00000000791,Il12rb1,not detected
ENSMUSG00000000792,Slc5a5,TRE
ENSMUSG00000000794,Kcnn3,not detected
ENSMUSG00000000804,Usp32,TRE+NRE
ENSMUSG00000000805,Car4,NRE
ENSMUSG00000000811,Txnrd3,TRE
ENSMUSG00000000817,Fasl,TRE
ENSMUSG00000000823,Znf512b,TRE
ENSMUSG00000000826,Dnajc5,NRE
ENSMUSG00000000827,Tpd52l2,NRE
ENSMUSG00000000838,Fmr1,NRE
ENSMUSG00000000861,Bcl11a,TRE
ENSMUSG00000000869,Il4,TRE
ENSMUSG00000000876,Pxmp4,TRE+NRE
ENSMUSG00000000881,Dlg3,NRE
ENSMUSG00000000884,Gnb1l,TRE
ENSMUSG00000000889,Dbh,TRE
ENSMUSG00000000901,Mmp11,TRE
ENSMUSG00000000902,Smarcb1,NRE
ENSMUSG00000000903,Vpreb3,TRE
ENSMUSG00000000915,Hip1r,TRE+NRE
ENSMUSG00000000916,Nsun5,TRE+NRE
ENSMUSG00000000934,Top1mt,NRE
ENSMUSG00000000938,Hoxa10,TRE
ENSMUSG00000000942,Hoxa4,TRE
ENSMUSG00000000948,Snrpn,TRE+NRE
ENSMUSG00000000957,Mmp14,TRE+NRE
ENSMUSG00000000958,Slc7a7,TRE
ENSMUSG00000000959,Oxa1l,NRE
ENSMUSG00000000976,Heatr6,NRE
ENSMUSG00000000982,Ccl3,TRE
ENSMUSG00000000983,Expi,TRE
ENSMUSG00000001014,Icam4,TRE
ENSMUSG00000001016,Ilf2,NRE
ENSMUSG00000001017,2500003M10Rik,NRE
ENSMUSG00000001018,Snapin,NRE
ENSMUSG00000001020,S100a4,NRE
ENSMUSG00000001021,S100a3,not detected
ENSMUSG00000001023,S100a5,TRE
ENSMUSG00000001025,S100a6,NRE
ENSMUSG00000001027,Scn4a,TRE
ENSMUSG00000001029,Icam2,TRE
ENSMUSG00000001034,Mapk7,NRE
ENSMUSG00000001036,Epn2,NRE
ENSMUSG00000001039,B9d1,TRE
ENSMUSG00000001052,Sec24b,TRE+NRE
ENSMUSG00000001053,N4bp3,TRE
ENSMUSG00000001054,Rmnd5b,NRE
ENSMUSG00000001056,Nhp2,NRE
ENSMUSG00000001062,1300018I17Rik,NRE
ENSMUSG00000001065,Zfp276,NRE
ENSMUSG00000001076,C1ql4,not present
ENSMUSG00000001082,Mfsd10,NRE
ENSMUSG00000001089,Luzp1,NRE
ENSMUSG00000001095,Slc13a2,TRE
ENSMUSG00000001098,Kctd10,NRE
ENSMUSG00000001100,Poldip2,NRE
ENSMUSG00000001103,Sebox,not detected
ENSMUSG00000001105,Ift20,NRE
ENSMUSG00000001119,Col6a1,NRE
ENSMUSG00000001120,Pcbp3,TRE
ENSMUSG00000001123,Lgals9,NRE
ENSMUSG00000001127,Araf,TRE+NRE
ENSMUSG00000001128,Cfp,TRE
ENSMUSG00000001131,Timp1,TRE
ENSMUSG00000001134,Uxt,NRE
ENSMUSG00000001138,Cnnm3,NRE
ENSMUSG00000001143,Lman2l,TRE+NRE
ENSMUSG00000001150,Mcm3ap,NRE
ENSMUSG00000001151,Pcnt,TRE+NRE
ENSMUSG00000001155,Ftcd,TRE
ENSMUSG00000001156,Mxd1,TRE+NRE
ENSMUSG00000001157,Gmcl1,TRE+NRE
ENSMUSG00000001158,Snrnp27,NRE
ENSMUSG00000001166,Oas1c,TRE
ENSMUSG00000001168,Oas1h,not detected
ENSMUSG00000001173,Ocrl,TRE+NRE
ENSMUSG00000001175,Calm1,NRE
ENSMUSG00000001211,Agpat3,NRE
ENSMUSG00000001225,Slc26a3,TRE
ENSMUSG00000001227,Sema6b,NRE
ENSMUSG00000001228,Uhrf1,TRE+NRE
ENSMUSG00000001229,Dpp9,NRE
ENSMUSG00000001240,Ramp2,TRE+NRE
ENSMUSG00000001247,Lsr,NRE
ENSMUSG00000001248,Gramd1a,NRE
ENSMUSG00000001249,Hpn,TRE
ENSMUSG00000001260,Gabrg1,TRE
ENSMUSG00000001270,Ckb,NRE
ENSMUSG00000001280,Sp1,NRE
ENSMUSG00000001281,Itgb7,TRE
ENSMUSG00000001285,Myg1,NRE
ENSMUSG00000001288,Rarg,NRE
ENSMUSG00000001289,Pfdn5,NRE
ENSMUSG00000001300,Efnb2,TRE+NRE
ENSMUSG00000001305,Rrp15,NRE
ENSMUSG00000001313,Rnd2,TRE
ENSMUSG00000001323,Srr,TRE+NRE
ENSMUSG00000001333,Sync,TRE
ENSMUSG00000001334,Fndc5,TRE
ENSMUSG00000001348,Acp5,NRE
ENSMUSG00000001349,Cnn1,NRE
ENSMUSG00000001366,Fbxo9,NRE
ENSMUSG00000001376,Ccdc132,NRE
ENSMUSG00000001379,Apbb3,NRE
ENSMUSG00000001380,Hars,NRE
ENSMUSG00000001383,Zmat2,NRE
ENSMUSG00000001403,Ube2c,NRE
ENSMUSG00000001415,Smg5,NRE
ENSMUSG00000001416,Cct3,NRE
ENSMUSG00000001417,Rhbg,TRE
ENSMUSG00000001418,0610031J06Rik,NRE
ENSMUSG00000001419,Mef2d,NRE
ENSMUSG00000001420,Tmem79,TRE
ENSMUSG00000001424,Snd1,NRE
ENSMUSG00000001435,Col18a1,NRE
ENSMUSG00000001436,Slc19a1,NRE
ENSMUSG00000001440,Kpnb1,NRE
ENSMUSG00000001441,Npepps,NRE
ENSMUSG00000001444,Tbx21,TRE
ENSMUSG00000001445,Mrpl10,NRE
ENSMUSG00000001467,Cyp51,NRE
ENSMUSG00000001472,Tcf25,NRE
ENSMUSG00000001473,Tubb6,NRE
ENSMUSG00000001482,Def8,NRE
ENSMUSG00000001493,Meox1,TRE
ENSMUSG00000001494,Sost,TRE
ENSMUSG00000001496,Nkx2-1,not detected
ENSMUSG00000001497,Pax9,TRE
ENSMUSG00000001504,Irx2,TRE
ENSMUSG00000001506,Col1a1,NRE
ENSMUSG00000001507,Itga3,TRE
ENSMUSG00000001508,Sgca,TRE
ENSMUSG00000001510,Dlx3,not detected
ENSMUSG00000001517,Foxm1,TRE
ENSMUSG00000001518,Itfg2,NRE
ENSMUSG00000001520,Nrip2,TRE
ENSMUSG00000001521,Tulp3,NRE
ENSMUSG00000001524,Gtf2h4,NRE
ENSMUSG00000001525,Tubb5,NRE
ENSMUSG00000001542,Ell2,NRE
ENSMUSG00000001552,Jup,NRE
ENSMUSG00000001555,Fkbp10,TRE
ENSMUSG00000001558,Klhl10,TRE
ENSMUSG00000001566,Mnx1,not detected
ENSMUSG00000001569,Nom1,not present
ENSMUSG00000001576,Ergic1,NRE
ENSMUSG00000001583,Tnk1,NRE
ENSMUSG00000001588,Acap1,TRE+NRE
ENSMUSG00000001604,Tcea3,TRE
ENSMUSG00000001622,Csn3,TRE
ENSMUSG00000001627,Ifrd1,NRE
ENSMUSG00000001630,Stk38l,TRE+NRE
ENSMUSG00000001632,Brpf1,NRE
ENSMUSG00000001642,Akr1b3,NRE
ENSMUSG00000001655,Hoxc13,not detected
ENSMUSG00000001656,Hoxc11,not present
ENSMUSG00000001657,Hoxc8,NRE
ENSMUSG00000001661,Hoxc6,NRE
ENSMUSG00000001663,Gstt1,NRE
ENSMUSG00000001665,Gstt3,NRE
ENSMUSG00000001666,Ddt,NRE
ENSMUSG00000001670,Tat,TRE
ENSMUSG00000001672,Marveld3,TRE+NRE
ENSMUSG00000001674,Ddx18,NRE
ENSMUSG00000001687,Ubl3,NRE
ENSMUSG00000001700,Gramd3,NRE
ENSMUSG00000001707,Eef1e1,NRE
ENSMUSG00000001729,Akt1,NRE
ENSMUSG00000001739,Cldn15,TRE
ENSMUSG00000001741,Il16,TRE+NRE
ENSMUSG00000001750,Tcirg1,TRE
ENSMUSG00000001751,Naglu,NRE
ENSMUSG00000001755,Coasy,NRE
ENSMUSG00000001761,Smo,NRE
ENSMUSG00000001763,Tspan33,TRE
ENSMUSG00000001767,Crnkl1,NRE
ENSMUSG00000001768,Rin2,NRE
ENSMUSG00000001773,Folh1,TRE
ENSMUSG00000001774,Chordc1,NRE
ENSMUSG00000001783,D10Wsu52e,TRE+NRE
ENSMUSG00000001785,Pwp1,NRE
ENSMUSG00000001786,Fbxo7,NRE
ENSMUSG00000001794,Capns1,NRE
ENSMUSG00000001802,Lrp3,not detected
ENSMUSG00000001804,Dsg4,not present
ENSMUSG00000001815,Evx2,not detected
ENSMUSG00000001819,Hoxd13,TRE
ENSMUSG00000001823,Hoxd12,not detected
ENSMUSG00000001827,Folr1,TRE
