Probe Set ID,WT average,KO average,,Student TTEST,Gene Symbol,Entrez Gene
1418790_at,5475.49552,15.0369284,-364.136569274347,4.99124067659499E-10,Fezf2,54713
1417867_at,30.0413888,270.1509408,-0.11120223646469,0.104194160888965,Cfd,11537
1455913_x_at,470.861736,76.1659128,-6.18205334499713,6.8176205718266E-06,Ttr,22139
1430523_s_at,11.2966939,76.6285882,-0.147421401925293,0.328910965182648,Iglv1,16142
1452166_a_at,2634.99942,455.280398,-5.78764082876241,4.34932810209339E-05,Krt10,16661
1454608_x_at,1203.673366,210.473446,-5.71888468058816,6.77527149829386E-06,Ttr,22139
1417988_at,1301.86436,228.593092,-5.69511680606691,0.000163407418372,Resp18,19711
1417076_at,557.953238,101.3777588,-5.5037046054721,0.008483326347461,Fabp9,21884
1418278_at,579.065476,106.269366,-5.44903482345044,0.001211168530544,Apoc3,11814
1428719_at,52.2254744,276.020302,-0.189208815516766,0.111026530620046,2010309G21Rik,70018
1459737_s_at,899.27581,166.256598,-5.40896313781183,4.18111024384616E-05,Ttr,22139
1458719_at,58.5476474,10.983865,-5.3303320279337,0.041844951347875,,
1455516_at,79.8845548,15.6152262,-5.11581156602137,2.91556798191329E-06,Csrnp3,77771
1420490_at,861.811174,173.617424,-4.96385186546714,7.20835046558245E-06,Klk1b16,16615
1434645_at,161.634332,32.6010524,-4.95794829003741,7.57579263285259E-07,C530008M17Rik,320827
1428667_at,467.025808,99.4276868,-4.6971404347305,6.47263393416216E-06,Maoa,17161
1419145_at,655.895008,140.851018,-4.65665791638084,3.23578678546836E-08,Smtnl1,68678
1417504_at,529.365216,117.264844,-4.51427041509559,1.41289939250675E-09,Calb1,12307
1424509_at,118.025146,26.532264,-4.4483631702142,0.00130881126149,Cd177,68891
1418766_s_at,352.434336,81.7214474,-4.31262963656221,0.002429451346388,Timd2,171284
1424931_s_at,44.5365974,201.106793,-0.221457449226989,0.052877591440931,Iglc1///Iglv1,110785///16142
1423439_at,294.52051,70.48833,-4.17828752646005,5.56089027909892E-06,Pck1,18534
1456387_at,386.982354,95.5506362,-4.05002383437819,5.62606623858558E-06,Nol4,319211
1419618_at,290.686394,72.0042646,-4.03707190976574,0.000197204779264,Bbox1,170442
1430964_at,72.9214084,18.4144834,-3.96000293985983,2.21509018844131E-05,2310034O05Rik,69571
1426175_a_at,90.9451578,23.3066072,-3.90211912954881,0.03207191106091,Tpsab1,100503895
1419539_at,55.5556648,14.4013466,-3.85767153191077,0.001376382943579,Irx4,50916
1430700_a_at,115.03531,481.917318,-0.23870341592497,0.06947686764744,Pla2g7,27226
1449426_a_at,677.669594,175.960606,-3.85125744565804,0.003900038739666,Anxa10,26359
1449385_at,239.177932,62.1443,-3.84875092325443,0.000163396238825,Hsd17b6,27400
1431724_a_at,83.4302608,21.826471,-3.82243473074507,2.52341377744499E-05,P2ry12,70839
1419519_at,482.922598,126.837164,-3.80742191618223,5.28433537533574E-06,Igf1,16000
1422933_at,113.923956,30.078924,-3.78750104225803,1.17477091323813E-05,Xlr5a///Xlr5b///Xlr5c,27084///574438///627081
1447845_s_at,107.7280632,28.861973,-3.73252595032225,4.03561396534502E-05,Vnn1,22361
1437401_at,788.374658,213.066502,-3.70013423320762,4.17915995499931E-08,Igf1,16000
1417231_at,183.554294,49.9884836,-3.67193162866817,8.1740595721206E-06,Cldn2,12738
1434413_at,656.706432,179.555,-3.65741099941522,4.35721837241407E-08,Igf1,16000
1416055_at,68.6122638,18.8367158,-3.64247486284207,0.000167914715206,Amy2a1///Amy2a2///Amy2a3///Amy2a4///Amy2a5,100043207///100043684///100043686///100043688///109959
1452014_a_at,1505.85848,416.006628,-3.61979444231355,3.34650163677957E-05,Igf1,16000
1450826_a_at,5554.20986,1541.48554,-3.60315404580441,1.12601048507959E-06,Saa3,20210
1457033_at,119.38097,33.1908514,-3.59680348543274,0.001588632996445,Zscan4a,434555
1457741_at,128.83918,35.970227,-3.58182838267882,6.50345475384133E-05,,
1420723_at,349.138636,97.775099,-3.57083387867498,1.30238313919573E-07,Vnn3,26464
1451580_a_at,391.53183,110.188706,-3.55328458072645,0.000217381479224,Ttr,22139
1427482_a_at,273.186128,78.1461012,-3.49583822871511,0.001639898948989,Car8,12319
1425581_s_at,119.481799,35.2501674,-3.38953848485837,0.000223700552516,Galnt7,108150
1418438_at,492.272172,145.81363,-3.37603673950096,6.16786177666478E-05,Fabp2,14079
1419698_at,299.456164,88.8749152,-3.36941152997016,0.01265393740292,Cxcl11,56066
1432453_a_at,187.477715,56.072122,-3.34351025630883,0.001216227872374,Ms4a10,69826
1419388_at,53.5461274,16.0604654,-3.33403335870952,0.006267118270625,Tm4sf20,66261
1452232_at,383.458892,115.111424,-3.33119753604994,2.88226306290141E-06,Galnt7,108150
1460468_s_at,85.8623272,25.8486954,-3.3217276876573,8.1496782659458E-09,Dnajc22,72778
1447831_s_at,217.69228,66.0615004,-3.29529724093278,9.1977576911375E-08,Mtmr7,54384
1417262_at,3729.25078,1139.943172,-3.27143569223467,1.59818144402259E-06,Ptgs2,19225
1417263_at,636.148238,194.712048,-3.26712314175854,0.000213622000601,Ptgs2,19225
1422072_a_at,116.7810588,35.8548404,-3.25705141892083,1.10076522844824E-05,Gstm6,14867
1423285_at,567.952904,174.606748,-3.25275460717017,0.000804205013688,Coch,12810
1439622_at,467.645362,144.377016,-3.23905684544692,2.8847109037347E-06,Rassf4,213391
1419561_at,102.024989,32.2844306,-3.160191680754,0.004317998605745,Ccl3,20302
1449375_at,220.329198,69.855942,-3.15405091810229,0.000786732605391,Ces2a,102022
1427374_at,356.35348,113.4855012,-3.14007936019936,4.50449569790047E-05,Muc3,666339
1449952_s_at,158.379928,50.5472584,-3.13330402109405,0.000176943626608,Prss30,30943
1451713_a_at,83.6586516,26.7089674,-3.13223084768152,0.008926220131473,Fcer2a,14128
1436555_at,169.346462,54.619579,-3.10047175574165,1.41479156049044E-05,Slc7a2,11988
1424245_at,847.082448,274.001008,-3.09153040780054,0.000278362905719,Ces2c///Ces2d-ps,234671///667754
1426908_at,299.655026,98.183844,-3.05197895898229,1.26822243984297E-06,Galnt7,108150
1417761_at,1607.4581,527.074612,-3.0497733402496,8.35305200718899E-06,Apoa4,11808
1435678_at,184.645782,60.9322126,-3.03034756364649,1.48926128340476E-06,2610017I09Rik,66297
1419090_x_at,761.60217,251.702072,-3.02580810697498,0.000174649090622,Egfbp2///Klk1b26,13647///16618
1439566_at,99.567892,32.9306084,-3.02356673130886,0.002188066412247,Gprin3,243385
1419345_at,2285.058188,6996.55468,-0.32659763162174,0.104586628112302,Pth,19226
1460480_at,94.7896948,31.4155372,-3.01728708939601,4.19078085627009E-05,Erv3,71995
1449465_at,244.85674,81.5662852,-3.00193565760183,1.04992102794375E-05,Reln,19699
1418149_at,1034.53324,3151.17896,-0.328300376821506,0.12338227838124,Chga,12652
1419697_at,2138.11672,712.910652,-2.99913700826566,0.011885972776039,Cxcl11,56066
1418765_at,622.5662,209.265636,-2.97500445797035,0.008375548357044,Timd2,171284
1450625_at,94.9691388,31.994422,-2.96830299981666,3.55394519347611E-09,Col5a2,12832
1448837_at,345.550664,116.754308,-2.9596395192544,6.45104675373194E-05,Vil1,22349
1451796_s_at,2495.58778,844.059474,-2.95664921356004,4.67578655323774E-05,Hdc,15186
1416809_at,90.661448,30.7872764,-2.94477000245465,0.000196738442653,Cyp3a11,13112
1445849_at,158.727382,54.0105572,-2.9388214124923,0.001335326799126,BC080696,665521
1457042_at,87.3397952,29.7646836,-2.93434314215253,2.9710274566468E-07,AI256396,100503463
1435892_at,104.014934,35.5273924,-2.92773904791279,6.12426435401247E-05,Asxl3,211961
1429856_at,124.400268,42.5209844,-2.92562060251832,8.41987792409711E-05,Tspan18,241556
1454713_s_at,4473.327,1532.24214,-2.91946480469464,2.25017247853883E-06,Hdc,15186
1435318_at,21.6906558,64.418977,-0.336712205162774,0.089861227398825,E130218I03Rik,77490
1419393_at,128.805869,44.2056994,-2.91378421217785,8.37138438022692E-05,Abcg5,27409
1427618_at,261.87483,89.9131952,-2.91252946152669,9.2821874754094E-06,Cdh9,12565
1423858_a_at,143.4244092,49.2743886,-2.91072935200255,0.007164993326531,Hmgcs2,15360
1418486_at,330.811782,114.407404,-2.89152424086119,8.95899799966885E-06,Vnn1,22361
1417649_at,2148.25336,745.917628,-2.88001419910135,2.0601055990147E-06,Cdkn1c,12577
1449979_a_at,267.762866,93.622469,-2.8600278208856,1.60927267003235E-06,Spock3,72902
