,Chr,Start,Stop,Samples,Sample_indices,Strand,Listing,Listing_subject,High,Low,UniqueIdentifier,pt87_lo_TPM,pt87_lo_Reads,pt214_hi_TPM,pt214_hi_Reads,pt214_lo_TPM,pt214_lo_Reads,pt221_lo_TPM,pt221_lo_Reads,pt226_lo_TPM,pt226_lo_Reads,pt221_hi_TPM,pt221_hi_Reads,pt226_hi_TPM,pt226_hi_Reads,pt212_lo_TPM,pt212_lo_Reads,pt87_hi_TPM,pt87_hi_Reads,pt212_hi_TPM,pt212_hi_Reads,Annotation,Distance to TSS,Nearest Ensembl,Gene Name,Gene Description,Gene Type,Annotations_short,CpG%,GC%,TRA,AIRE,Fezf2,Housekeeping,AIRE_dep_TRA,Fezf2_dep_TRA,other_TRA,Class
9,chr1,992144,992159,"pt214_lo,pt87_lo","pt214_lo_996,pt87_lo_1008",-,2,2,0,2,9,8.46343769018299,3.0,0.0,0.0,2.7955047147534686,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intergenic,7945,ENSG00000188290,HES4,hes family bHLH transcription factor 4,protein-coding,Intergeni,0.018333,0.439268,False,False,False,False,False,False,False,Low
15,chr1,1013528,1013532,"pt221_lo,pt226_lo","pt221_lo_4,pt226_lo_4",+,2,2,0,2,15,0.0,0.0,0.0,0.0,0.0,0.0,28.123266737857108,4.0,39.88143451752706,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_005101),33,ENSG00000187608,ISG15,ISG15 ubiquitin like modifier,protein-coding,promoter-TSS,0.04,0.522463,False,True,False,False,False,False,False,Low
67,chr1,1307876,1307912,"pt212_lo,pt214_lo,pt226_lo","pt212_lo_899,pt214_lo_1007,pt226_lo_684",-,3,3,0,3,67,0.0,0.0,0.0,0.0,4.06547259135583,2.0,0.0,0.0,3.6823081593361664,4.0,0.0,0.0,0.0,0.0,16.572084503468723,4.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001346116),36,ENSG00000131584,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",protein-coding,promoter-TSS,0.175,0.768719,False,False,False,True,False,False,False,Low
117,chr1,1541894,1541902,"pt212_lo,pt214_lo","pt212_lo_912,pt214_lo_1029",-,2,2,0,2,117,0.0,0.0,0.0,0.0,18.844395977530976,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.027485968906866,2.0,0.0,0.0,0.0,0.0,"3' UTR (NM_014188, exon 5 of 5)",-1274,ENSG00000205090,TMEM240,transmembrane protein 240,protein-coding,3' UTR,0.038333,0.549085,False,False,False,False,False,False,False,Low
121,chr1,1615434,1615460,"pt212_lo,pt214_lo,pt221_lo,pt226_lo","pt212_lo_18,pt212_lo_19,pt214_lo_14,pt221_lo_17,pt226_lo_19",+,4,4,0,4,121,0.0,0.0,0.0,0.0,6.154546808223013,4.0,4.6168302314955305,2.0,10.73829741005214,3.0,0.0,0.0,0.0,0.0,7.624631327811864,4.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001170688),32,ENSG00000197530,MIB2,mindbomb E3 ubiquitin protein ligase 2,protein-coding,promoter-TSS,0.1,0.658902,False,False,False,False,False,False,False,Low
124,chr1,1615893,1615926,"pt212_lo,pt214_lo,pt221_lo,pt226_lo,pt87_lo","pt212_lo_21,pt214_lo_15,pt221_lo_18,pt226_lo_20,pt87_lo_24",+,5,5,0,5,124,7.3488557572825375,4.0,0.0,0.0,18.624926910104136,3.0,4.308646356958279,2.0,11.192302313152794,6.0,0.0,0.0,0.0,0.0,7.30895043812208,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NR_146324),55,ENSG00000197530,MIB2,mindbomb E3 ubiquitin protein ligase 2,protein-coding,promoter-TSS,0.135,0.778702,False,False,False,False,False,False,False,Low
125,chr1,1628955,1628968,"pt214_lo,pt226_lo","pt214_lo_16,pt226_lo_21",+,2,2,0,2,125,0.0,0.0,0.0,0.0,4.889195097334204,3.0,0.0,0.0,3.044235200613183,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"intron (NM_080875, intron 16 of 19)",-3211,ENSG00000189409,MMP23B,matrix metallopeptidase 23B,protein-coding,intron,0.046667,0.677205,False,False,False,False,False,False,False,Low
139,chr1,1724545,1724565,"pt214_lo,pt87_lo","pt214_lo_1041,pt87_lo_1048",-,2,2,0,2,139,4.90467960724026,2.0,0.0,0.0,3.59993586715477,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001313896),-198,ENSG00000008128,CDK11A,cyclin dependent kinase 11A,protein-coding,promoter-TSS,0.08,0.580699,False,False,False,False,False,False,False,Low
140,chr1,1746271,1746285,"pt212_lo,pt214_lo","pt212_lo_922,pt214_lo_1042",-,2,2,0,2,140,0.0,0.0,0.0,0.0,4.258920855427744,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83682045177516,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_182838),-279,ENSG00000215790,SLC35E2A,solute carrier family 35 member E2A,protein-coding,promoter-TSS,0.091667,0.677205,False,False,False,False,False,False,False,Low
167,chr1,2214160,2214182,"pt226_lo,pt87_lo","pt226_lo_713,pt87_lo_1060",-,2,2,0,2,167,6.276052519377648,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.836691009428259,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intergenic,-1451,ENSG00000162585,FAAP20,FA core complex associated protein 20,protein-coding,Intergeni,0.028333,0.657238,False,False,False,False,False,False,False,Low
176,chr1,2391671,2391686,"pt212_lo,pt87_lo","pt212_lo_933,pt87_lo_1064",-,2,2,0,2,176,10.73678439460094,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.499113301743212,4.0,0.0,0.0,0.0,0.0,promoter-TSS (NR_125361),-125,ENSG00000116151,MORN1,MORN repeat containing 1,protein-coding,promoter-TSS,0.143333,0.772047,False,False,False,False,False,False,False,Low
215,chr1,5992420,5992425,"pt212_lo,pt214_lo","pt212_lo_942,pt214_lo_1061",-,2,2,0,2,215,0.0,0.0,0.0,0.0,4.051361233774454,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.395966624471044,2.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_001291593),2,ENSG00000131697,NPHP4,nephrocystin 4,protein-coding,promoter-TSS,0.118333,0.705491,False,True,False,False,False,False,False,Low
