,Chr,Start,Stop,Samples,Sample_indices,Strand,Listing,Listing_subject,High,Low,UniqueIdentifier,pt87_lo_TPM,pt87_lo_Reads,pt214_hi_TPM,pt214_hi_Reads,pt214_lo_TPM,pt214_lo_Reads,pt221_lo_TPM,pt221_lo_Reads,pt226_lo_TPM,pt226_lo_Reads,pt221_hi_TPM,pt221_hi_Reads,pt226_hi_TPM,pt226_hi_Reads,pt212_lo_TPM,pt212_lo_Reads,pt87_hi_TPM,pt87_hi_Reads,pt212_hi_TPM,pt212_hi_Reads,Annotation,Distance to TSS,Nearest Ensembl,Gene Name,Gene Description,Gene Type,Annotations_short,CpG%,GC%,TRA,AIRE,Fezf2,Housekeeping,AIRE_dep_TRA,Fezf2_dep_TRA,other_TRA,Class
33,chr1,1064478,1064499,"pt212_hi,pt214_hi","pt212_hi_10,pt214_hi_11",+,2,2,2,0,33,0.0,0.0,4.205455864698793,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.124479459430072,3.0,"intron (NR_148960, intron 3 of 3)",4755,ENSG00000217801,LOC100288175,uncharacterized LOC100288175,ncRNA,intron,0.058333,0.688852,False,False,False,False,False,False,False,High
38,chr1,1074297,1074307,"pt212_hi,pt226_hi","pt212_hi_905,pt226_hi_692",-,2,2,2,0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.101947229107726,4.0,0.0,0.0,0.0,0.0,19.71829986010675,2.0,promoter-TSS (NM_001205252),4,ENSG00000237330,RNF223,ring finger protein 223,protein-coding,promoter-TSS,0.023333,0.643927,False,False,False,False,False,False,False,High
44,chr1,1190373,1190411,"pt212_hi,pt226_hi","pt212_hi_907,pt226_hi_693",-,2,2,2,0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.456068355714484,4.0,0.0,0.0,0.0,0.0,16.156998187030982,4.0,"intron (NM_001130045, intron 13 of 15)",10711,ENSG00000162571,TTLL10,tubulin tyrosine ligase like 10,protein-coding,intron,0.013333,0.392679,True,False,False,False,False,False,True,High
57,chr1,1218522,1218542,"pt212_hi,pt226_hi","pt212_hi_911,pt226_hi_697",-,2,2,2,0,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2538503241161094,3.0,0.0,0.0,0.0,0.0,2.807593543758612,2.0,"exon (NM_016547, exon 6 of 7)",-4379,ENSG00000186827,TNFRSF4,TNF receptor superfamily member 4,protein-coding,exon,0.065,0.650582,False,False,False,False,False,False,False,High
58,chr1,1231924,1231925,"pt214_hi,pt221_hi","pt214_hi_1045,pt221_hi_652",-,2,2,2,0,58,0.0,0.0,6.76677056725642,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.841195884546513,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,promoter-TSS (NM_080605),76,ENSG00000078808,SDF4,stromal cell derived factor 4,protein-coding,promoter-TSS,0.165,0.788686,False,False,False,True,False,False,False,High
84,chr1,1387057,1387100,"pt212_hi,pt214_hi,pt221_hi","pt212_hi_925,pt214_hi_1058,pt214_hi_1059,pt221_hi_664",-,3,3,3,0,84,0.0,0.0,6.231077099157448,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.449517725419155,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.01298341592445,2.0,"non-coding (NR_135154, exon 13 of 13)",11263,ENSG00000221978,CCNL2,cyclin L2,protein-coding,non-coding,0.065,0.613977,False,False,False,True,False,False,False,High
89,chr1,1399521,1399524,"pt212_hi,pt221_hi","pt212_hi_17,pt221_hi_13",+,2,2,2,0,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3495044279468478,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.664498329454652,3.0,promoter-TSS (NR_015434),-7,ENSG00000224870,MRPL20-AS1,MRPL20 antisense RNA 1,ncRNA,promoter-TSS,0.128333,0.723794,False,False,False,False,False,False,False,High
104,chr1,1421781,1421790,"pt212_hi,pt214_hi","pt212_hi_937,pt214_hi_1069",-,2,2,2,0,104,0.0,0.0,7.004981601662211,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.530970130575179,2.0,promoter-TSS (NM_001243535),-342,ENSG00000235098,ANKRD65,ankyrin repeat domain 65,protein-coding,promoter-TSS,0.015,0.66223,False,False,False,False,False,False,False,High
180,chr1,2428699,2428703,"pt214_hi,pt87_hi","pt214_hi_29,pt87_hi_25",+,2,2,2,0,180,0.0,0.0,2.9104201221654695,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74624428437499,2.0,0.0,0.0,Intergenic,-16130,ENSG00000157911,PEX10,peroxisomal biogenesis factor 10,protein-coding,Intergeni,0.056667,0.680532,False,True,False,False,False,False,False,High
191,chr1,3547398,3547399,"pt221_hi,pt87_hi","pt221_hi_683,pt87_hi_943",-,2,2,2,0,191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.330292877862,2.0,0.0,0.0,0.0,0.0,7.573328115230151,2.0,0.0,0.0,"intron (NM_001409, intron 4 of 36)",13391,ENSG00000207776,MIR551A,microRNA 551a,ncRNA,intron,0.038333,0.637271,False,False,False,False,False,False,False,High
