ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000131002"	"ENSG00000131002"	chrY	+	19588369	19589612	19588369	19588650	19589526	19589612	0	0,1634,1458	0,0,1	0,1395,1442	0,1,0	926	50	1	1.0	NA,1.0,0.987	NA,0.987,1.0	0.0
1	"ENSG00000131002"	"ENSG00000131002"	chrY	+	19593398	19597665	19593398	19593593	19597590	19597665	1	0,4166,3901	0,1,7	0,3451,3620	0,6,4	4047	50	1	1.0	NA,0.981,0.873	NA,0.877,0.918	0.03
2	"ENSG00000067048"	"ENSG00000067048"	chrY	+	12914883	12915227	12914883	12914982	12915066	12915227	2	0,222,186	0,142,202	0,342,377	0,183,270	134	50	1	1.0	NA,0.368,0.256	NA,0.411,0.343	-0.065
4	"ENSG00000182484"	"ENSG00000182484"	chrX	+	156021998	156022459	156021998	156022145	156022313	156022459	4	0,1,2	0,0,22	0,1,1	1,0,53	218	50	1	1.0	NA,1.0,0.02	0.0,1.0,0.004	0.175
5	"ENSG00000182484"	"ENSG00000182484"	chrX	+	156021998	156022459	156021998	156022145	156022322	156022459	5	0,1,2	2,6,3	0,1,1	12,6,9	227	50	0.917879970534	1.0	0.0,0.035,0.128	0.0,0.035,0.024	0.035
6	"ENSG00000182484"	"ENSG00000182484"	chrX	+	156022313	156022834	156022313	156022459	156022698	156022834	6	5,11,10	10,4,6	2,5,17	0,5,4	289	50	0.514157647982	0.811684009449239	0.08,0.322,0.224	1.0,0.147,0.424	-0.315
7	"ENSG00000182484"	"ENSG00000182484"	chrX	+	156022322	156022834	156022322	156022539	156022698	156022834	7	4,5,5	14,45,34	2,4,9	22,58,57	209	50	0.514174332679	0.811684009449239	0.064,0.026,0.034	0.021,0.016,0.036	0.017
8	"ENSG00000130826"	"ENSG00000130826"	chrX	+	154774601	154775273	154774601	154774705	154775194	154775273	8	162,205,128	134,81,65	173,151,138	119,94,45	539	50	0.831297941015	1.0	0.101,0.19,0.154	0.119,0.13,0.221	-0.008
10	"ENSG00000126903"	"ENSG00000126903"	chrX	-	154487305	154489082	154487305	154488496	154488583	154489082	10	186,170,170	23,7,2	196,124,106	0,2,2	137	50	9.29361029789e-06	0.00019964516896683516	0.747,0.899,0.969	1.0,0.958,0.951	-0.098
11	"ENSG00000147403"	"ENSG00000147403"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	11	714,503,481	8993,9112,8773	628,402,406	12251,8357,7520	140	50	0.0289957435741	0.11140689402958624	0.028,0.019,0.019	0.018,0.017,0.019	0.004
12	"ENSG00000147403"	"ENSG00000147403"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	12	6692,3723,3451	7789,5455,5603	8540,4851,4800	9742,5752,5648	572	50	0.0285824941184	0.11028310230635083	0.07,0.056,0.051	0.071,0.069,0.069	-0.011
13	"ENSG00000102119"	"ENSG00000102119"	chrX	+	154379941	154380367	154379941	154380019	154380233	154380367	13	495,295,271	308,148,110	756,304,273	229,132,122	264	50	0.0142821631694	0.06493006306469838	0.233,0.274,0.318	0.385,0.304,0.298	-0.054
