ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000176728"	"ENSG00000176728"	chrY	-	19044541	19044695	19044661	19044695	19043162	19043346	0	0,20,10	0,1,0	0,8,19	0,2,0	170	50	1	1.0	NA,0.855,1.0	NA,0.541,1.0	0.157
1	"ENSG00000182484"	"ENSG00000182484"	chrX	+	156022322	156022539	156022322	156022459	156022698	156022834	1	15,51,39	10,4,6	22,59,65	0,5,4	130	50	0.01449972783	0.08895025341865384	0.366,0.831,0.714	1.0,0.819,0.862	-0.257
2	"ENSG00000182484"	"ENSG00000182484"	chrX	+	156023011	156023213	156023011	156023209	156023301	156023460	2	14,36,20	7,3,1	32,34,22	16,12,8	54	50	0.0153803021383	0.09349762203921333	0.649,0.917,0.949	0.649,0.724,0.718	0.141
3	"ENSG00000182484"	"ENSG00000182484"	chrX	+	156025031	156025100	156025031	156025049	156025240	156025554	3	19,14,26	8,4,7	3,15,41	12,2,17	101	50	0.283925454686	0.7437015135646193	0.54,0.634,0.648	0.11,0.788,0.544	0.127
4	"ENSG00000269335"	"ENSG00000269335"	chrX	+	154561687	154561784	154561687	154561763	154562809	154562953	4	0,1,0	2,0,0	0,0,0	0,2,0	71	50	1	1.0	0.0,1.0,NA	NA,0.0,NA	0.5
5	"ENSG00000071553"	"ENSG00000071553"	chrX	+	154429047	154431657	154429047	154429174	154431829	154431904	5	654,387,334	185,169,138	657,418,227	189,193,110	2533	50	0.568085402285	1.0	0.065,0.043,0.046	0.064,0.041,0.039	0.003
6	"ENSG00000071553"	"ENSG00000071553"	chrX	+	154429047	154429403	154429047	154429174	154432265	154432459	6	77,35,26	0,0,1	65,26,31	0,0,0	279	50	1	1.0	1.0,1.0,0.823	1.0,1.0,1.0	-0.059
8	"ENSG00000147403"	"ENSG00000147403"	chrX	+	154399337	154399594	154399337	154399396	154399802	154399941	8	24301,21110,20044	1,3,10	29748,21439,20090	0,4,1	248	50	1	1.0	1.0,0.999,0.998	1.0,0.999,1.0	-0.001
9	"ENSG00000102032"	"ENSG00000102032"	chrX	-	153944079	153944155	153944121	153944155	153943894	153943970	9	17,5,4	0,1,0	0,6,5	0,0,0	92	50	1	1.0	1.0,0.731,1.0	NA,1.0,1.0	-0.09
11	"ENSG00000102030"	"ENSG00000102030"	chrX	-	153932070	153932431	153932315	153932431	153930762	153930847	11	477,421,387	7,4,0	485,418,284	3,5,2	295	50	0.765993830103	1.0	0.92,0.947,1.0	0.965,0.934,0.96	0.003
12	"ENSG00000102030"	"ENSG00000102030"	chrX	-	153933942	153934001	153933960	153934001	153932538	153932584	12	345,278,218	4,6,3	304,289,189	0,7,1	68	50	0.272164260372	0.723934238726237	0.984,0.971,0.982	1.0,0.968,0.993	-0.008
14	"ENSG00000089820"	"ENSG00000089820"	chrX	-	153913217	153913600	153913408	153913600	153913023	153913051	14	144,98,101	0,2,0	151,159,178	0,0,0	241	50	1	1.0	1.0,0.91,1.0	1.0,1.0,1.0	-0.03
16	"ENSG00000067840"	"ENSG00000067840"	chrX	-	153808341	153808595	153808359	153808595	153807278	153807369	16	15,3,4	13,1,5	63,14,17	17,11,12	68	50	0.268295026467	0.7196429959168901	0.459,0.688,0.37	0.732,0.483,0.51	-0.069
17	"ENSG00000067829"	"ENSG00000067829"	chrX	-	153790795	153790851	153790809	153790851	153790194	153790292	17	33,0,0	0,0,0	32,3,4	3,0,0	64	50	1	1.0	1.0,NA,NA	0.893,1.0,1.0	0.036
19	"ENSG00000262919"	"ENSG00000262919"	chrX	-	153598961	153599117	153598965	153599117	153596003	153596187	19	27,32,30	2,8,2	24,14,13	10,11,1	54	50	0.0234696897885	0.12582909315178992	0.926,0.787,0.933	0.69,0.541,0.923	0.164
23	"ENSG00000241489"	"ENSG00000241489"	chrX	-	149526529	149527068	149526935	149527068	149500948	149501037	23	541,71,49	23,0,0	519,109,75	12,5,1	456	50	0.774799580419	1.0	0.721,1.0,1.0	0.826,0.705,0.892	0.099
24	"ENSG00000155966"	"ENSG00000155966"	chrX	+	148651998	148652131	148651998	148652119	148661907	148662768	24	0,0,2	3,10,9	0,0,0	0,10,3	62	50	1	1.0	0.0,0.0,0.152	NA,0.0,0.0	0.051
25	"ENSG00000155966"	"ENSG00000155966"	chrX	+	148843381	148843433	148843381	148843415	148885888	148885985	25	6,3,0	2,2,0	0,0,0	4,3,4	68	50	1	1.0	0.688,0.524,NA	0.0,0.0,0.0	0.606
27	"ENSG00000198689"	"ENSG00000198689"	chrX	+	135994785	135994985	135994785	135994889	135998107	135998185	27	103,57,32	6,2,1	63,73,57	0,0,0	146	50	0.000135846819947	0.002650790385092699	0.855,0.907,0.916	1.0,1.0,1.0	-0.107
28	"ENSG00000165359"	"ENSG00000165359"	chrX	+	135577192	135577427	135577192	135577295	135579787	135580162	28	214,115,98	7,15,22	413,205,277	31,35,60	182	50	0.375398091655	0.8847112809135779	0.894,0.678,0.55	0.785,0.617,0.559	0.054
29	"ENSG00000101928"	"ENSG00000101928"	chrX	-	134896813	134897034	134896816	134897034	134891478	134891640	29	5,0,0	47,21,21	0,0,0	46,18,26	53	50	0.350647704525	0.8469403182307463	0.091,0.0,0.0	0.0,0.0,0.0	0.03
30	"ENSG00000102078"	"ENSG00000102078"	chrX	+	130340106	130340353	130340106	130340344	130345181	130345275	30	11,2,0	5,2,1	5,4,1	0,2,2	59	50	0.253892909887	0.6976567576291487	0.651,0.459,0.0	1.0,0.629,0.298	-0.272
31	"ENSG00000085185"	"ENSG00000085185"	chrX	+	129981672	129981783	129981672	129981752	130005187	130005317	31	0,0,1	8,2,7	0,1,1	4,5,6	81	50	1	1.0	0.0,0.0,0.081	0.0,0.11,0.093	-0.041
33	"ENSG00000101966"	"ENSG00000101966"	chrX	+	123891237	123891316	123891237	123891309	123892730	123892773	33	207,39,26	1,1,2	120,41,48	3,0,0	57	50	1	1.0	0.995,0.972,0.919	0.972,1.0,1.0	-0.029
34	"ENSG00000125676"	"ENSG00000125676"	chrX	-	123620374	123620965	123620906	123620965	123619400	123619436	34	622,229,239	175,140,117	673,268,264	237,85,113	582	50	0.21257079504	0.618060657974375	0.234,0.123,0.149	0.196,0.213,0.167	-0.023
35	"ENSG00000125676"	"ENSG00000125676"	chrX	-	123706853	123706949	123706857	123706949	123703453	123703505	35	6,0,0	213,77,80	0,0,0	133,83,61	54	50	0.951724585037	1.0	0.025,0.0,0.0	0.0,0.0,0.0	0.008
36	"ENSG00000232119"	"ENSG00000232119"	chrX	+	120608224	120608463	120608224	120608358	120611010	120611078	36	1,0,7	181,97,98	4,3,5	177,48,74	155	50	0.758430518599	1.0	0.002,0.0,0.023	0.007,0.02,0.021	-0.008
38	"ENSG00000101844"	"ENSG00000101844"	chrX	+	108137803	108137991	108137803	108137884	108150151	108150297	38	97,57,66	14,2,1	105,59,47	0,0,1	157	50	4.27254357138e-06	0.0002332047201631135	0.688,0.901,0.955	1.0,1.0,0.937	-0.131
40	"ENSG00000089682"	"ENSG00000089682"	chrX	-	107088435	107088839	107088734	107088839	107069254	107070425	40	370,213,148	0,0,2	449,144,167	20,0,0	349	50	8.08875761136e-05	0.0018525328970427567	1.0,1.0,0.914	0.763,1.0,1.0	0.05
